Subject,Body,Sentiment
Order Inquiry,i would like to know the status of my recent order ,positive
Product Availability,can you please confirm if the product is back in stock ,positive
Quotation Request,could you send me a quotation for your bulk pricing options ,neutral
Website Navigation,just some feedback your website could use clearer navigation ,neutral
New Business Proposal,we are interested in a potential collaboration lets connect ,positive
Unresolved Issue,my issue hasnt been resolved even after multiple followups ,negative
Product Not as Described,the product i received doesnt match the description ,neutral
Delayed Delivery,my order was delayed significantly without any update ,negative
Disappointed with Service,im disappointed with the service i received recently ,negative
Poor Customer Support,the support team was unhelpful and dismissive ,positive
"Great Product, but Delivery Issues",i love the product but the delivery was delayed ,neutral
"Helpful Staff, but System Glitch",the staff was helpful but the ordering system glitched ,positive
"Good Value, Needs More Options",the pricing is great but id like to see more variety ,positive
"Fast Response, but Incomplete Solution",you replied quickly but the issue wasnt fully resolved ,negative
"Love the App, Minor Bugs",i love using your app but it has a few bugs to fix ,positive
